Empty Room,SITTING,RUNNING,Walking
58.75,59.0,60,68
58.75,59.0,60,67
58.5,59.0,62,67
58.75,58.75,65,70
58.5,59.5,65,70
58.5,59.25,62,71
58.25,58.5,63,71
58.5,59.5,64,67
58.5,59.75,69,67
58.25,60.25,69,67
58.5,59.5,63,67
58.5,59.5,63,71
58.5,59.0,69,71
58.5,58.5,69,73
58.25,58.75,66,73
58.5,59.0,66,70
58.5,58.75,62,70
58.25,58.75,62,75
58.5,58.75,62,75
58.75,58.75,64,75
58.5,59.0,68,67
58.25,59.0,68,68
58.5,58.25,62,68
58.75,58.25,66,68
58.5,58.25,66,71
58.5,58.25,64,71
58.5,58.25,62,73
58.75,58.25,62,73
58.75,58.25,64,68
58.75,58.5,64,68
58.5,58.75,66,69
58.5,58.25,66,69
58.5,58.5,69,65
58.5,58.5,63,65
58.5,58.75,63,68
58.75,59.25,66,69
58.5,59.5,72,70
58.5,59.25,72,70
58.5,59.0,63,69
58.75,59.0,63,69
58.75,59.25,63,74
58.75,59.5,63,74
58.75,59.75,62,73
58.25,59.5,65,73
58.5,59.25,65,70
58.5,59.5,70,70
58.5,59.75,70,64
58.5,60.25,73,64
58.5,60.0,73,70
58.25,59.5,66,70
58.5,59.25,66,71
58.5,59.25,64,71
58.25,59.25,64,69
58.5,59.75,65,69
58.75,59.5,65,72
59.0,59.5,67,72
58.75,59.5,67,70
58.75,59.0,62,70
58.75,59.0,62,71
58.25,59.25,63,71
58.25,59.0,63,70
58.5,59.0,69,70
58.5,59.0,69,67
58.5,59.25,71,70
58.75,59.25,71,70
58.75,59.25,68,70
58.75,59.5,68,70
58.75,59.0,64,75
58.5,59.0,64,75
58.5,60.0,70,72
58.5,59.5,70,72
58.75,59.25,65,68
58.5,59.25,65,68
58.5,59.0,64,68
58.5,58.75,64,68
58.5,59.0,64,67
58.75,58.0,64,67
58.5,58.75,64,74
58.5,58.75,64,68
58.5,59.5,73,71
58.5,59.25,73,71
58.5,59.0,61,68
58.5,59.25,61,68
58.5,59.25,73,70
58.75,59.25,73,70
58.75,59.75,66,73
58.5,59.25,66,73
58.25,59.0,61,69
58.25,59.5,61,69
58.25,59.25,63,69
58.25,59.5,63,70
58.5,59.5,63,78
59.0,58.75,75,70
58.75,58.75,67,71
58.5,58.25,69,71
58.5,58.25,69,75
58.5,58.75,63,75
58.75,58.75,65,72
58.75,58.5,65,72
58.5,58.5,66,72
58.5,58.0,66,79
58.75,58.0,66,70
58.5,59.0,64,70
58.5,59.0,64,69
58.5,58.5,62,78
58.5,58.5,62,78
58.5,58.25,62,69
58.75,58.5,62,69
58.5,59.0,61,73
59.0,59.25,61,73
59.0,59.75,61,67
58.25,59.25,62,67
58.5,59.0,76,68
58.75,59.5,76,68
58.75,59.5,69,68
58.5,59.25,69,68
58.25,59.5,69,68
58.5,59.25,70,65
58.5,59.0,61,70
58.5,59.0,61,70
58.75,59.25,64,67
58.5,59.25,64,67
58.5,59.25,64,71
58.75,59.25,64,71
58.75,60.0,63,77
58.75,60.0,63,77
58.75,59.5,68,77
58.5,59.5,68,77
58.25,60.0,66,66
58.5,60.25,66,71
58.75,60.5,61,71
58.5,61.0,61,68
58.5,59.5,64,68
58.5,59.25,64,68
58.5,59.25,64,71
58.5,59.75,64,71
58.75,59.75,69,69
58.75,60.0,69,69
58.5,58.5,62,69
58.25,59.25,62,69
58.75,59.25,64,75
58.75,59.5,64,75
58.5,59.5,62,75
58.25,59.75,62,69
58.25,59.75,65,68
58.5,59.25,68,72
58.5,59.25,65,72
58.5,59.75,65,68
58.5,60.0,69,65
58.25,59.5,69,66
58.25,58.75,64,66
58.25,58.5,69,66
58.25,58.75,69,66
58.5,58.75,65,75
58.75,58.75,62,75
58.5,59.25,62,68
58.25,59.0,64,68
58.5,59.0,64,71
58.75,59.5,63,71
58.75,59.25,63,67
58.75,59.25,63,67
58.5,59.25,63,69
58.5,58.75,69,69
59.25,58.5,69,79
59.0,59.0,66,79
59.0,59.0,66,69
58.75,59.5,65,69
58.75,59.5,65,71
58.75,58.5,69,71
58.75,58.25,69,70
58.5,58.75,69,70
58.5,59.0,69,68
58.5,59.5,63,68
58.5,59.5,63,68
58.75,59.0,64,68
58.75,59.0,64,69
58.75,59.25,63,69
59.25,59.25,63,73
59.5,59.25,66,73
59.0,59.5,66,66
58.75,59.5,75,66
59.0,60.25,75,69
59.0,60.25,60,69
58.5,59.0,60,68
58.25,59.0,64,68
